motorbike,exited,921
car,entered,922
motorbike,entered,922
motorbike,exited,924
car,entered,925
car,exited,926
car,entered,927
car,entered,927
car,exited,928
car,entered,932
car,exited,937
car,entered,942
car,exited,944
truck,entered,944
truck,entered,945
car,entered,946
car,entered,946
truck,exited,946
truck,exited,946
motorbike,entered,949
car,entered,950
car,exited,951
truck,entered,951
car,entered,952
person,entered,952
truck,exited,952
person,entered,953
motorbike,exited,953
motorbike,entered,955
person,exited,956
car,entered,957
person,entered,957
motorbike,exited,958
car,exited,959
motorbike,entered,959
person,exited,959
person,exited,961
person,entered,962
car,exited,963
person,exited,963
car,exited,965
car,entered,966
car,entered,967
car,entered,967
car,exited,968
car,exited,970
car,entered,973
person,entered,973
person,entered,973
car,exited,974
person,exited,974
person,exited,974
car,exited,975
person,entered,975
car,entered,976
car,entered,976
car,exited,977
car,entered,979
car,exited,980
motorbike,exited,980
car,entered,981
truck,entered,983
truck,entered,983
car,exited,984
car,exited,984
car,exited,985
person,exited,985
car,entered,986
motorbike,entered,987
motorbike,exited,988
car,exited,990
car,exited,991
car,entered,992
car,entered,994
motorbike,entered,994
car,entered,995
motorbike,exited,995
car,entered,996
car,exited,997
car,exited,997
car,entered,998
car,exited,999
motorbike,entered,1000
car,entered,1001
car,entered,1001
motorbike,exited,1001
motorbike,entered,1002
car,exited,1006
car,entered,1012
car,entered,1013
motorbike,entered,1013
car,exited,1014
car,exited,1014
car,exited,1014
car,exited,1014
motorbike,exited,1014
car,entered,1015
car,entered,1015
car,entered,1016
motorbike,entered,1016
car,exited,1017
motorbike,exited,1017
motorbike,entered,1018
car,exited,1019
motorbike,exited,1019
truck,exited,1019
car,exited,1020
person,entered,1020
truck,entered,1020
motorbike,exited,1020
car,exited,1021
car,entered,1022
car,entered,1022
car,entered,1022
car,entered,1022
car,entered,1022
motorbike,entered,1022
person,exited,1022
car,entered,1023
person,entered,1023
person,entered,1023
truck,exited,1023
truck,exited,1023
car,exited,1024
car,exited,1024
person,entered,1024
person,exited,1025
motorbike,exited,1025
car,entered,1026
car,entered,1026
person,exited,1026
car,exited,1027
car,entered,1028
person,exited,1028
car,exited,1029
person,entered,1029
person,entered,1029
person,exited,1030
person,exited,1030
person,entered,1032
car,entered,1033
motorbike,entered,1033
person,exited,1033
car,exited,1034
car,exited,1035
motorbike,exited,1035
car,exited,1036
motorbike,entered,1036
car,entered,1037
car,exited,1038
motorbike,exited,1038
car,entered,1039
